"genre","series_title","gross","imdb_rating","director"
"Drama, History, Romance","Gone with the Wind",198676459,"8.1","Victor Fleming"
"Drama, Romance","Belle de jour",26331,"7.7","Luis Buñuel"
"Drama, Film-Noir, Romance","Notorious",10464000,"7.9","Alfred Hitchcock"
"Drama","25th Hour",13060843,"7.6","Spike Lee"
"Drama, Thriller","A Few Good Men",141340178,"7.7","Rob Reiner"
"Drama, Family, Musical","Fiddler on the Roof",80500000,"8","Norman Jewison"
"Drama, War","La battaglia di Algeri",55908,"8.1","Gillo Pontecorvo"
"Drama, Sport","Million Dollar Baby",100492203,"8.1","Clint Eastwood"
"Drama, Music","Les choristes",3635164,"7.9","Christophe Barratier"
"Drama","Fanny och Alexander",4971340,"8.1","Ingmar Bergman"
"Drama, Thriller","Misery",61276872,"7.8","Rob Reiner"
"Drama, Mystery, Romance","Rebecca",4360000,"8.1","Alfred Hitchcock"
"Drama, Romance","Before Sunset",5820649,"8.1","Richard Linklater"
"Drama, Music","Whiplash",13092000,"8.5","Damien Chazelle"
"Drama","Mysterious Skin",697181,"7.6","Gregg Araki"
"Drama, Family, Musical","My Fair Lady",72000000,"7.8","George Cukor"
"Drama","Mommy",3492754,"8.1","Xavier Dolan"
"Drama, Sport","Rocky",117235247,"8.1","John G. Avildsen"
"Drama, Horror, Sci-Fi","28 Days Later...",45064915,"7.6","Danny Boyle"
"Drama, Music, Musical","All That Jazz",37823676,"7.9","Bob Fosse"
"Drama, War","Full Metal Jacket",46357676,"8.3","Stanley Kubrick"
"Drama","The Help",169708112,"8","Tate Taylor"
"Drama, Sci-Fi","Arrival",100546139,"7.9","Denis Villeneuve"
"Drama","Detachment",71177,"7.7","Tony Kaye"
"Drama, Sci-Fi","Stalker",234723,"8.2","Andrei Tarkovsky"
"Drama","Cat on a Hot Tin Roof",17570324,"8","Richard Brooks"
"Drama","Kis Uykusu",165520,"8.1","Nuri Bilge Ceylan"
"Drama","Jagten",687185,"8.3","Thomas Vinterberg"
"Drama, Thriller, Western","High Noon",9450000,"7.9","Fred Zinnemann"
"Drama, Music","Billy Elliot",21995263,"7.7","Stephen Daldry"
"Drama","The Color Purple",98467863,"7.8","Steven Spielberg"
"Drama","Forushande",2402067,"7.8","Asghar Farhadi"
"Drama, War","The Deer Hunter",48979328,"8.1","Michael Cimino"
"Drama","There Will Be Blood",40222514,"8.2","Paul Thomas Anderson"
"Drama","The Florida Project",5904366,"7.6","Sean Baker"
"Drama, History, War","Enemy at the Gates",51401758,"7.6","Jean-Jacques Annaud"
"Drama, Music","Okuribito",1498210,"8.1","Yôjirô Takita"
"Drama, Romance, Sci-Fi","Her",25568251,"8","Spike Jonze"
"Drama, Fantasy, Music","La double vie de Véronique",1999955,"7.8","Krzysztof Kieslowski"
"Drama, Music, Romance","Gully Boy",5566534,"8","Zoya Akhtar"
"Drama, War","All Quiet on the Western Front",3270000,"8","Lewis Milestone"
"Drama, Music, Romance","The Broken Circle Breakdown",175058,"7.7","Felix van Groeningen"
"Drama","All About Eve",10177,"8.2","Joseph L. Mankiewicz"
"Drama, Fantasy, War","Pan's Labyrinth",37634615,"8.2","Guillermo del Toro"
"Drama, Western","Django Unchained",162805434,"8.4","Quentin Tarantino"
"Drama, Sci-Fi","Metropolis",1236166,"8.3","Fritz Lang"
"Drama, Horror","Les yeux sans visage",52709,"7.7","Georges Franju"
"Drama, Mystery, Thriller","Blue Velvet",8551228,"7.7","David Lynch"
"Drama","A Streetcar Named Desire",8000000,"8","Elia Kazan"
"Drama, Thriller, War","Zwartboek",4398392,"7.7","Paul Verhoeven"
"Drama, History","The Grapes of Wrath",55000,"8","John Ford"
"Drama, Thriller","Pink",1241223,"8.1","Aniruddha Roy Chowdhury"
"Drama, Music, Romance","The Red Shoes",10900000,"8.1","Michael Powell"
"Drama, Music, Mystery","Trois couleurs: Bleu",1324974,"7.9","Krzysztof Kieslowski"
"Drama, Romance","God's Own Country",335609,"7.7","Francis Lee"
"Drama, Thriller","Amores perros",5383834,"8.1","Alejandro G. Iñárritu"
"Drama","Jodaeiye Nader az Simin",7098492,"8.3","Asghar Farhadi"
"Drama","Fight Club",37030102,"8.8","David Fincher"
"Drama","Rain Man",178800000,"8","Barry Levinson"
"Drama, Mystery, Thriller","Searching",26020957,"7.6","Aneesh Chaganty"
"Drama, War","Au revoir les enfants",4542825,"8","Louis Malle"
"Drama","Central do Brasil",5595428,"8","Walter Salles"
"Drama, Mystery, Sci-Fi","Donnie Darko",1480006,"8","Richard Kelly"
"Drama, Romance","Call Me by Your Name",18095701,"7.9","Luca Guadagnino"
"Drama","Le notti di Cabiria",752045,"8.1","Federico Fellini"
"Drama, Romance","The Remains of the Day",22954968,"7.8","James Ivory"
"Drama, History, War","The Boy in the Striped Pyjamas",9030581,"7.8","Mark Herman"
"Drama, Mystery, Thriller","The Sixth Sense",293506292,"8.1","M. Night Shyamalan"
"Drama, Horror","The Shining",44017374,"8.4","Stanley Kubrick"
"Drama","Ladri di biciclette",332930,"8.3","Vittorio De Sica"
"Drama, Romance","Slumdog Millionaire",141319928,"8","Danny Boyle"
"Drama, War, Western","Giù la testa",696690,"7.6","Sergio Leone"
"Drama, Romance","La vie d'Adèle",2199675,"7.7","Abdellatif Kechiche"
"Drama, Film-Noir, Mystery","Laura",4360000,"8","Otto Preminger"
"Drama, History, Thriller","JFK",70405498,"8","Oliver Stone"
"Drama","Paris, Texas",2181987,"8.1","Wim Wenders"
"Drama, Sci-Fi","Brazil",9929135,"7.9","Terry Gilliam"
"Drama","Swades: We, the People",1223240,"8.2","Ashutosh Gowariker"
