"yearlygross","star1"
"3081925","Philip Seymour Hoffman"
"3029081","John Cameron Mitchell"
"2852400","Toni Servillo"
"2832029","Harvey Keitel"
"2807390","Jane Adams"
"2734044","Tony Chiu-Wai Leung"
"2681370","Sushant Singh Rajput"
"2650000","Edmund Gwenn"
"2616000","Deborah Kerr"
"2603061","Gong Li"
"2537520","Edmund Goulding"
"2402067","Shahab Hosseini"
"2380788","Ki-duk Kim"
"2375308","Yôji Matsuda"
"2280348","Lee Pace"
"2222647","Christian Friedel"
"2217561","Sanjay Dutt"
"2201126","Rena Owen"
"2199675","Léa Seydoux"
"2181987","Harry Dean Stanton"
"2122065","Kåre Hedebrant"
"2086345","Javier Bardem"
"2084637","Tahar Rahim"
"2034825","Orson Welles"
"2015810","Winona Ryder"
"2011270","Buster Keaton"
"2006788","Kim Min-hee"
"2000000","Adam Driver"
"1924733","Roman Polanski"
"1794187","Jean-Pierre Jeunet"
"1787378","Preity Zinta"
"1769305","David Thewlis"
"1752214","Madeline Carroll"
"1742348","Harriet Andersson"
"1670773","Sridevi"
"1661096","Zain Al Rafeea"
"1649085","Ulrich Thomsen"
"1626289","Farhan Akhtar"
"1544889","Richard E. Grant"
"1543152","Ayushmann Khurrana"
"1526000","Max von Sydow"
"1506975","Chloë Grace Moretz"
"1498210","Masahiro Motoki"
"1464625","Zbigniew Zamachowski"
"1436000","Tom Waits"
"1429534","Kangana Ranaut"
"1339152","Jeff Bridges"
"1330596","Bérénice Bejo"
"1324974","Juliette Binoche"
"1312410","Shahid Kapoor"
"1241223","Taapsee Pannu"
"1236166","Brigitte Helm"
"1229197","Terry Jones"
"1223869","Amole Gupte"
"1185783","Anamaria Marinca"
"1122527","Amit Sadh"
"1111061","Jang Dong-Gun"
"1105564","Hitoshi Takagi"
"1099729","Mads Mikkelsen"
"1092800","Aleksey Serebryakov"
"1079369","Akshay Kumar"
"1059830","Branko Djuric"
"1054361","Diane Kruger"
"1035953","Vidya Balan"
"1008098","Mikael Persbrandt"
"1000045","Tensai Okamura"
"959000","Elliott Gould"
"933933","Mohammad Amir Naji"
"923221","Paresh Rawal"
"881302","Megumi Hayashibara"
"871577","Sam Riley"
"857524","David Rawle"
"845464","Günes Sensoy"
"776665","Junko Iwao"
"765127","Hiromasa Yonebayashi"
"752045","Giulietta Masina"
"741283","Baki Davrak"
"739478","Ajay Devgn"
"733094","Amitabh Bachchan"
"707481","Choi Min-sik"
"697181","Brady Corbet"
"696690","Rod Steiger"
"686383","Nora Twomey"
"654000","Robert Mitchum"
"600200","Brigitte Lin"
"566356","Maryana Spivak"
"553171","Mitsuo Iwata"
"548707","Guillaume Canet"
"547292","Hye-ja Kim"
"539540","George O'Brien"
"515905","Atsuko Tanaka"
"502028","Vladimir Garin"
"495770","Sumi Shimamoto"
"453243","Miki Imai"
"435266","Roland Møller"
"368234","Eduardo Noriega"
"365629","Toshirô Mifune"
"349555","Roman Griffin Davis"
"348660","Bajram Severdzan"
"336705","Jean-Paul Belmondo"
"335609","Josh O'Connor"
"332930","Lamberto Maggiorani"
"327919","Thomas Turgoose"
"309811","Vincent Cassel"
"280015","Davor Dujmovic"
"259127","Tim Roth"
"238507","Seung-Yun Lee"
"234723","Alisa Freyndlikh"
"233986","Takeshi Kitano"
"203300","Margaret Sullavan"
"198809","Fernando Rey"
"193817","Barry Bostwick"
"188751","Rob Reiner"
"181655","Oksana Akinshina"
"177345","Margarita Terekhova"
"175058","Veerle Baetens"
"172885","Jean Gabin"
"171082","Predrag 'Miki' Manojlovic"
"169659","Alan Mak"
"165520","Haluk Bilginer"
"151086","Andrew Philpot"
"144501","Lembit Ulfsak"
"141072","Moritz Bleibtreu"
"138730","Muhammet Uzuner"
"128985","Shôgo Furuya"
"128392","Lee Byung-Hun"
"108179","Wagner Moura"
"106662","Golshifteh Farahani"
"102021","Anatoliy Solonitsyn"
"89029","Duane Jones"
"88300","Emmanuelle Riva"
"83957","Karlheinz Böhm"
"83861","Abraham Attah"
"61001","Alejandro Jodorowsky"
"57226","Jean Servais"
"55908","Brahim Hadjadj"
"55240","Takashi Shimura"
"52709","Pierre Brasseur"
"50970","Aleksandr Antonov"
"39481","Alain Delon"
"28877","Peter Lorre"
"26331","Catherine Deneuve"
"25812","Willem Dafoe"
"21877","Maria Falconetti"
"15280","Andreas Wilson"
"10950","Abhay Deol"
"7461","Rajat Barmecha"
"6460","Won Bin"
"3600","Jared Leto"
"3296","Til Schweiger"
