"imdb_rating","gross","genre","series_title","director"
"8.1",148095302,"Drama","Gran Torino","Clint Eastwood"
"8.1",154058340,"Action, Adventure, Sci-Fi","Mad Max: Fury Road","George Miller"
"8.1",164615351,"Biography, Crime, Drama","Catch Me If You Can","Steven Spielberg"
"8.1",167767189,"Drama, Mystery, Thriller","Gone Girl","David Fincher"
"8.1",198676459,"Drama, History, Romance","Gone with the Wind","Victor Fleming"
"8.1",217581231,"Animation, Action, Adventure","How to Train Your Dragon","Dean DeBlois"
"8.1",226277068,"Action, Drama, Sci-Fi","Logan","James Mangold"
"8.1",289916256,"Animation, Adventure, Comedy","Monsters, Inc.","Pete Docter"
"8.1",293506292,"Drama, Mystery, Thriller","The Sixth Sense","M. Night Shyamalan"
"8.1",356461711,"Animation, Adventure, Comedy","Inside Out","Pete Docter"
"8.1",380843261,"Animation, Adventure, Comedy","Finding Nemo","Andrew Stanton"
"8.1",381011219,"Adventure, Drama, Fantasy","Harry Potter and the Deathly Hallows: Part 2","David Yates"
"8.1",402453882,"Action, Adventure, Sci-Fi","Jurassic Park","Steven Spielberg"
"8",3296,"Action, Crime, Comedy","Knockin' on Heaven's Door","Thomas Jahn"
"8",8060,"Action, Crime, Drama","Tropa de Elite","José Padilha"
"8",10950,"Drama, Romance","Dev.D","Anurag Kashyap"
"8",50690,"Drama","8½","Federico Fellini"
"8",50970,"Drama, History, Thriller","Bronenosets Potemkin","Sergei M. Eisenstein"
"8",55000,"Drama, History","The Grapes of Wrath","John Ford"
"8",100119,"Action, Crime, Drama","Tropa de Elite 2: O Inimigo Agora é Outro","José Padilha"
"8",106662,"Drama, Mystery","Darbareye Elly","Asghar Farhadi"
"8",169659,"Action, Crime, Drama","Mou gaan dou","Andrew Lau"
"8",238507,"Crime, Drama, Romance","Bin-jip","Ki-duk Kim"
"8",502028,"Drama","Vozvrashchenie","Andrey Zvyagintsev"
"8",515905,"Animation, Action, Crime","Kôkaku Kidôtai","Mamoru Oshii"
"8",541940,"Drama","Il conformista","Bernardo Bertolucci"
"8",553171,"Animation, Action, Sci-Fi","Akira","Katsuhiro Ôtomo"
"8",654000,"Crime, Drama, Film-Noir","The Night of the Hunter","Charles Laughton"
"8",776665,"Animation, Crime, Mystery","Pâfekuto burû","Satoshi Kon"
"8",1010414,"Drama","Short Term 12","Destin Daniel Cretton"
"8",1079369,"Crime, Drama, Thriller","Special Chabbis","Neeraj Pandey"
"8",1480006,"Drama, Mystery, Sci-Fi","Donnie Darko","Richard Kelly"
"8",1506975,"Animation, Adventure, Drama","Kaguyahime no monogatari","Isao Takahata"
"8",1530386,"Crime, Drama","Dogville","Lars von Trier"
"8",1647780,"Drama","Festen","Thomas Vinterberg"
"8",1787378,"Comedy, Drama, Musical","Kal Ho Naa Ho","Nikkhil Advani"
"8",2076020,"Adventure, Family, Fantasy","The Wizard of Oz","Victor Fleming"
"8",2086345,"Biography, Drama","Mar adentro","Alejandro Amenábar"
"8",2108060,"Film-Noir, Mystery","The Maltese Falcon","John Huston"
"8",2237659,"Crime, Drama, Film-Noir","Touch of Evil","Orson Welles"
"8",2380788,"Drama, Romance","Bom Yeoareum Gaeul Gyeoul Geurigo Bom","Ki-duk Kim"
"8",2625803,"Action, Crime, Thriller","Serbuan maut 2: Berandal","Gareth Evans"
"8",3270000,"Drama, War","All Quiet on the Western Front","Lewis Milestone"
"8",3333969,"Drama, Fantasy, Romance","Der Himmel über Berlin","Wim Wenders"
"8",4018695,"Drama","My Name Is Khan","Karan Johar"
"8",4081254,"Mystery, Thriller","Sleuth","Joseph L. Mankiewicz"
"8",4184036,"Crime, Drama, Musical","Dancer in the Dark","Lars von Trier"
"8",4360000,"Drama, Film-Noir, Mystery","Laura","Otto Preminger"
"8",4445756,"Animation, Biography, Drama","Persepolis","Vincent Paronnaud"
"8",4496583,"Crime, Drama","Bound by Honor","Taylor Hackford"
"8",4542825,"Drama, War","Au revoir les enfants","Louis Malle"
"8",5566534,"Drama, Music, Romance","Gully Boy","Zoya Akhtar"
"8",5595428,"Drama","Central do Brasil","Walter Salles"
"8",5990075,"Biography, Drama","Le scaphandre et le papillon","Julian Schnabel"
"8",6203044,"Biography, Drama","The Straight Story","David Lynch"
"8",6738000,"Action, Drama","Bãhubali: The Beginning","S.S. Rajamouli"
"8",8000000,"Drama","A Streetcar Named Desire","Elia Kazan"
"8",8178001,"Action, Adventure, Comedy","Bajrangi Bhaijaan","Kabir Khan"
"8",8284000,"Drama, Sport","The Hustler","Robert Rossen"
"8",11900000,"Crime, Drama, Mystery","Anatomy of a Murder","Otto Preminger"
"8",12535000,"Action, Drama, Western","Rio Bravo","Howard Hawks"
"8",13417292,"Comedy, Drama","Secrets & Lies","Mike Leigh"
"8",14500000,"Action, Drama, Western","Per un pugno di dollari","Sergio Leone"
"8",17570324,"Drama","Cat on a Hot Tin Roof","Richard Brooks"
"8",17738570,"Drama, Romance","The Perks of Being a Wallflower","Stephen Chbosky"
"8",19516000,"Comedy, Drama","La dolce vita","Federico Fellini"
"8",22455976,"Drama","Magnolia","Paul Thomas Anderson"
"8",23159305,"Animation, Action, Adventure","The Iron Giant","Brad Bird"
"8",23650000,"Drama, Romance, War","The Best Years of Our Lives","William Wyler"
"8",24475416,"Drama","Sling Blade","Billy Bob Thornton"
"8",25568251,"Drama, Romance, Sci-Fi","Her","Spike Jonze"
"8",27298285,"Biography, Drama","Dallas Buyers Club","Jean-Marc Vallée"
"8",27545445,"Comedy, Drama","Do the Right Thing","Spike Lee"
"8",29133000,"Drama, Romance","The Last Picture Show","Peter Bogdanovich"
"8",30177511,"Comedy, Drama","Being There","Hal Ashby"
"8",30857814,"Adventure, Family, Fantasy","The Princess Bride","Rob Reiner"
"8",33395426,"Adventure, Sci-Fi","Planet of the Apes","Franklin J. Schaffner"
"8",38400000,"Action, Sci-Fi","The Terminator","James Cameron"
"8",39200000,"Comedy, Romance","Annie Hall","Woody Allen"
"8",50000000,"Biography, Crime, Drama","Dog Day Afternoon","Sidney Lumet"
"8",51739495,"Biography, Drama","Lion","Garth Davis"
"8",52767889,"Biography, Drama, History","Gandhi","Richard Attenborough"
"8",53267000,"Biography, Crime, Drama","Papillon","Franklin J. Schaffner"
"8",57141459,"Mystery, Sci-Fi, Thriller","Twelve Monkeys","Terry Gilliam"
"8",57366262,"Adventure, Drama, Thriller","Blood Diamond","Edward Zwick"
"8",61649911,"Biography, Drama, History","Cinderella Man","Ron Howard"
"8",63895607,"Drama","Scent of a Woman","Martin Brest"
"8",66208183,"Action, Crime, Thriller","Kill Bill: Vol. 2","Quentin Tarantino"
"8",66257002,"Adventure, Drama, Fantasy","Big Fish","Tim Burton"
"8",70405498,"Drama, History, Thriller","JFK","Oliver Stone"
"8",70906973,"Comedy, Fantasy, Romance","Groundhog Day","Harold Ramis"
"8",74103820,"Crime, Thriller","Sin City","Frank Miller"
"8",75082668,"Animation, Family, Fantasy","The Nightmare Before Christmas","Henry Selick"
"8",80500000,"Drama, Family, Musical","Fiddler on the Roof","Norman Jewison"
"8",86300000,"Comedy","Young Frankenstein","Mel Brooks"
"8",91125683,"Biography, Drama, Thriller","The Imitation Game","Morten Tyldum"
"8",92054159,"Action, Drama, Mystery","Blade Runner 2049","Denis Villeneuve"
"8",102308889,"Biography, Crime, Drama","Butch Cassidy and the Sundance Kid","George Roy Hill"
"8",104945305,"Comedy, Drama, Romance","The Graduate","Mike Nichols"
"8",106954678,"Drama, Thriller","Black Swan","Darren Aronofsky"
"8",111722000,"Drama, Romance, War","Doctor Zhivago","David Lean"
"8",132422809,"Drama, Family","Wonder","Stephen Chbosky"
"8",138797449,"Biography, Drama, History","The King's Speech","Tom Hooper"
"8",141319928,"Drama, Romance","Slumdog Millionaire","Danny Boyle"
"8",151101803,"Comedy, Drama, Music","La La Land","Damien Chazelle"
"8",163214286,"Biography, Drama, Family","The Sound of Music","Robert Wise"
"8",163566459,"Biography, Drama","The Pursuit of Happyness","Gabriele Muccino"
"8",167445960,"Action, Adventure, Thriller","Casino Royale","Martin Campbell"
"8",169708112,"Drama","The Help","Tate Taylor"
"8",178800000,"Drama","Rain Man","Barry Levinson"
